tag,target_mL,mode,name,unit,minimum_margin,time_s,violated
D_convergence_tight,300,1,cable_tension_boundary,N,1e-05,0,False
D_convergence_tight,300,1,reverse_flow_boundary,m^3/s,1e-13,0,False
D_convergence_tight,300,2,phase_boundary,rad,0.2562887266728464,2.0637931327849977,False
D_convergence_tight,300,2,50mm_limit,m,0.08201844402368523,23.836638183187166,False
D_convergence_tight,300,2,sphere_limit,m^3,0.00016561196450508466,23.37043301404264,False
D_convergence_tight,300,2,extension_boundary,m,9.999999999739615e-07,0.32468826954761676,False
D_convergence_tight,300,2,speed_envelope_boundary,rad/s,4.37851160687349,19.082723766778496,False
D_convergence_tight,300,2,cable_tension_boundary,N,9.999640098573213e-06,0.07414422548491709,False
D_convergence_tight,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
D_convergence_tight,300,3,phase_boundary,rad,0.19959035168195305,1.995834478026276,False
D_convergence_tight,300,3,50mm_limit,m,0.08201829685094461,24.166956767103375,False
D_convergence_tight,300,3,sphere_limit,m^3,0.00016561196449328095,23.46198001672709,False
D_convergence_tight,300,3,extension_boundary,m,9.999999999739615e-07,0.32468826954761676,False
D_convergence_tight,300,3,speed_envelope_boundary,rad/s,4.371485687141733,18.96094028206219,False
D_convergence_tight,300,3,cable_tension_boundary,N,9.999640098573213e-06,0.07414422548491709,False
D_convergence_tight,300,3,reverse_flow_boundary,m^3/s,1e-13,0,False
D_diagnostic_baseline,300,1,phase_boundary,rad,0.27105191716262134,25.94882862222297,False
D_diagnostic_baseline,300,1,50mm_limit,m,0.08152996824440477,26.10704741209458,False
D_diagnostic_baseline,300,1,sphere_limit,m^3,0.00016561193619221893,25.644283287288854,False
D_diagnostic_baseline,300,1,extension_boundary,m,1e-06,0,False
D_diagnostic_baseline,300,1,speed_envelope_boundary,rad/s,5.089593226127975,1.9791335526507046,False
D_diagnostic_baseline,300,1,cable_tension_boundary,N,1e-05,0,False
D_diagnostic_baseline,300,1,reverse_flow_boundary,m^3/s,1e-13,0,False
D_diagnostic_baseline,300,2,phase_boundary,rad,0.25628883077815967,2.0636116918422314,False
D_diagnostic_baseline,300,2,50mm_limit,m,0.08201844402067689,24.681530580015597,False
D_diagnostic_baseline,300,2,sphere_limit,m^3,0.00016561196450508495,23.370433555150058,False
D_diagnostic_baseline,300,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
D_diagnostic_baseline,300,2,speed_envelope_boundary,rad/s,4.378491379611143,19.084094261174116,False
