tag,target_mL,mode,status,plateau_rmse_mL_s,plateau_err_pct,collected_mL,volume_error_mL,stop_time_s,max_abs_torque_Nm,torque_margin_Nm,torque_utilisation_pct,max_contact_force_N,electrical_phase_boundary_margin_deg,postclose_peak_force_N,postclose_travel_m,postclose_pressure_increase_Pa,command_start_s,command_stop_s,mechanical_stop_s,t_close_s,tail_end_s,upper_saturation_s,lower_saturation_s,slew_limited_s,plateau_overshoot_pct,plateau_band_entry_s
B_terminal_0p25,300,2,boundary_triggered,0.044999661861244336,1.424551721771028,297.90793299043634,-2.0920670095636638,23.345103510445075,0.28689793038814837,0.009687245809343659,96.73373904470093,114.59806922915128,14.684268339931108,,,,0.49995402777867565,,,,,0,0.4998184755859638,0.03013386641422855,1.424551721771028,2.0003896417547775
B_terminal_0p25,300,3,boundary_triggered,0.03705375616313623,2.504628875403947,297.9081516418842,-2.091848358115783,23.436758737341282,0.29069728232895115,0.005887893868540883,98.01477135707545,116.11737497099588,11.43573292487369,,,,0.44666063004498013,,,,,0,0.44653097607609626,0.03014466066893462,2.504628875403947,2.000032204595935
C_combined_300,300,2,normal_completion,0.03931596581014762,0.49432885857414455,300.0000145838976,1.4583897609554697e-05,25.199406560002537,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,8.50337517561972,1.3902401409693343e-05,959.393519768224,0.7444355317364546,23.94411031678487,23.91683531214882,23.84801793143251,25.19799489802772,0,0.744272370037988,0.016745423677846816,0.49432885857414455,3.0000010862680786
D_convergence_tight,300,1,normal_completion,3.455474639165705,37.567467599149495,300.0000432977824,4.3297782383433514e-05,26.106201249755465,0.2857567611164445,0.010828415081047538,96.34896955408281,114.24619784518863,15.530149773753593,114.24619784518863,0.0004018399514498089,27730.653558374564,1.6666666666666795e-07,25.988806994982824,25.969015067278008,25.64428328730112,26.10617761204028,0,0,0.09615821084788434,0,
D_convergence_tight,300,2,normal_completion,0.04500110104299508,1.4245513453701175,300.0000149783545,1.4978354499817215e-05,24.705720431756596,0.2868979382150002,0.009687237982491825,96.73374168369048,114.59806579964841,14.68426237513603,16.552995674651292,5.040938435389719e-05,3478.711000171368,0.4999635212170786,23.516862227353208,23.489465168100484,23.37043301404264,24.70501651030218,0,0.499819225944014,0,1.4245513453701175,2.000237253069666
D_convergence_tight,300,3,normal_completion,0.03702824640976395,2.50462843961643,300.00001497881027,1.497881027034964e-05,24.796489866649853,0.2906973317376922,0.00588784445979984,98.01478801628332,116.11737259627384,11.435684782907742,16.582429408210086,5.0498450253316784e-05,3484.857366249925,0.4466736757741848,23.608499522873004,23.581123870525136,23.46198001672709,24.795515260877426,0,0.44653174310540267,0,2.50462843961643,2.0002671188163004
D_diagnostic_baseline,300,1,normal_completion,3.4555010024018795,37.56768258505196,300.00004310684074,4.310684073516313e-05,26.10704741209458,0.2857567872990503,0.010828388898441732,96.34897838210523,114.24619768260757,15.530130882347805,114.24619768260757,0.00040183995644027526,27730.653902762017,1.6666666666666784e-07,25.988723207066293,25.969861920314766,25.644283287288854,26.106177610960753,0,0,0.09618428145895025,0,
D_diagnostic_baseline,300,2,normal_completion,0.044999661861244336,1.424551721771028,300.0000147930321,1.4793032107718318e-05,24.706683326393165,0.28689793038814837,0.009687245809343659,96.73373904470093,114.59806922915128,14.684268339931108,16.552996276336664,5.0409388210451156e-05,3478.7112663090475,0.49995402777867565,23.516815274905497,23.489356156580808,23.370433555150058,24.705017063617966,0,0.4998184755859638,0,1.424551721771028,2.0003896417547775
D_diagnostic_baseline,300,3,normal_completion,0.03705375616313623,2.504628875403947,300.0000148411596,1.484115961147836e-05,24.79582585241065,0.29069728232895115,0.005887893868540883,98.01477135707545,116.11737497099588,11.43573292487369,16.582430002085037,5.049849061411482e-05,3484.860151516087,0.44666063004498013,23.608443535174988,23.581523641052677,23.461980544996944,24.795515777586246,0,0.44653097607609626,0,2.504628875403947,2.000032204595935
FINAL_convergence_tight,300,2,normal_completion,0.03931583143053818,0.4943338975443412,300.00001478490003,1.4784900031372672e-05,25.198030511744548,0.2807758067058275,0.015809369491664504,94.6695348384043,112.14887046562451,18.791804221758113,8.503410567914372,1.3902511337829382e-05,959.4011058204833,0.7444494447464605,23.944191500635636,23.916707245418362,23.8480174267621,25.197994070090445,0,0.7442732169456829,0.016745442241127506,0.4943338975443412,3.0002136257181844
FINAL_selected,200,2,normal_completion,0.03042736134764436,0.49432885857414455,200.00001463249376,1.4632493758881537e-05,18.552753294889165,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,5.9377738124741235,4.992313557279637e-06,271.07421123618496,0.7444355317364546,17.277340239013686,17.25059318588892,17.20363026772741,18.549829939206468,0,0.744272370037988,0.016727311415120738,0.49432885857414455,3.0000010862680786
FINAL_selected,300,2,normal_completion,0.03931596581014762,0.49432885857414455,300.0000145838976,1.4583897609554697e-05,25.199406560002537,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,8.50337517561972,1.3902401409693343e-05,959.393519768224,0.7444355317364546,23.94411031678487,23.91683531214882,23.84801793143251,25.19799489802772,0,0.744272370037988,0.016745423677846816,0.49432885857414455,3.0000010862680786
FINAL_selected,400,2,normal_completion,0.061863940360705715,0.9412975160981607,400.00001446671865,1.4466718653238786e-05,31.82773500269172,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,24.42352219828303,4.8711305464022026e-05,4905.742292860959,0.7444355317364546,30.614077894639117,30.5866898044195,30.469430330708164,31.82731661811356,0,0.744272370037988,0.016781446515850007,0.49432885857414455,3.0000010862680786
FINAL_verified,200,2,normal_completion,0.030427416089933455,0.49432885857414455,200.00001467216433,1.4672164326157144e-05,18.549829789011852,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,5.937779749834449,4.992334919996788e-06,271.07537119572225,0.7444355317364546,17.277478177278937,17.250756791464784,17.203630178024557,18.54982978901185,0,0.744272370037988,0.016727277973359378,0.49432885857414455,3.0000010862680786
FINAL_verified,300,2,normal_completion,0.03931612400842973,0.49432885857414455,300.00001462213976,1.462213975855775e-05,25.197994500096275,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,8.503425203840177,1.3902574141563817e-05,959.4054398554445,0.7444355317364546,23.94420184772612,23.917197850770645,23.848017891853022,25.197994500096048,0,0.744272370037988,0.016745312526147416,0.49432885857414455,3.0000010862680786
FINAL_verified,400,2,normal_completion,0.06186409188180123,0.941300819045443,400.00001450782577,1.4507825767395843e-05,31.82731692493439,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,24.423482604943313,4.871109117324246e-05,4905.720711523363,0.7444355317364546,30.614047829698123,30.58724007556355,30.46943037275143,31.827316924934166,0,0.744272370037988,0.016781481056817427,0.49432885857414455,3.0000010862680786
FINAL_verified_tight,300,2,normal_completion,0.0393160049378162,0.4943338975443412,300.00001478014366,1.4780143658299494e-05,25.19799406509435,0.2807758067058275,0.015809369491664504,94.6695348384043,112.14887046562451,18.791804221758113,8.50341088815265,1.3902512817548507e-05,959.4012079343975,0.7444494447464605,23.944193376211995,23.916797891014163,23.848017426568536,25.19799406509412,0,0.7442732169456829,0.01674544151562074,0.4943338975443412,3.0002136257181844
